Meter;Tee;Fairway;Rough;Sand;Recovery
5;0;2,01;2,47;2,33;0
6;0;2,08;2,48;2,35;0
7;0;2,13;2,49;2,37;0
8;0;2,18;2,49;2,38;0
9;0;2,21;2,5;2,39;0
10;0;2,24;2,5;2,4;0
11;0;2,28;2,51;2,41;0
12;0;2,31;2,52;2,43;0
13;0;2,34;2,53;2,44;0
14;0;2,35;2,54;2,46;0
15;0;2,36;2,55;2,47;0
16;0;2,37;2,56;2,49;0
17;0;2,39;2,58;2,52;0
18;0;2,4;2,59;2,53;0
19;0;2,41;2,6;2,54;0
20;0;2,42;2,61;2,56;0
21;0;2,43;2,62;2,57;0
22;0;2,44;2,63;2,59;0
23;0;2,45;2,64;2,6;0
24;0;2,46;2,65;2,62;0
25;0;2,47;2,66;2,63;0
26;0;2,48;2,67;2,65;0
27;0;2,49;2,68;2,66;0
28;0;2,51;2,69;2,69;0
29;0;2,52;2,7;2,7;0
30;0;2,53;2,71;2,72;0
31;0;2,54;2,72;2,73;0
32;0;2,55;2,73;2,75;0
33;0;2,56;2,74;2,76;0
34;0;2,57;2,75;2,78;0
35;0;2,58;2,76;2,79;0
36;0;2,59;2,77;2,81;0
37;0;2,6;2,78;2,82;0
38;0;2,61;2,79;2,85;0
39;0;2,62;2,8;2,87;0
40;0;2,62;2,81;2,89;0
41;0;2,63;2,81;2,9;0
42;0;2,63;2,82;2,92;0
43;0;2,64;2,83;2,94;0
44;0;2,64;2,83;2,95;0
45;0;2,65;2,84;2,97;0
46;0;2,65;2,85;2,99;0
47;0;2,66;2,85;3;0
48;0;2,66;2,86;3,02;0
49;0;2,67;2,87;3,05;0
50;0;2,68;2,88;3,07;0
51;0;2,68;2,88;3,08;0
52;0;2,69;2,89;3,1;0
53;0;2,69;2,9;3,12;0
54;0;2,7;2,9;3,13;0
55;0;2,7;2,91;3,15;0
56;0;2,7;2,91;3,15;0
57;0;2,71;2,92;3,16;0
58;0;2,71;2,92;3,16;0
59;0;2,71;2,92;3,17;0
60;0;2,72;2,93;3,18;0
61;0;2,72;2,93;3,18;0
62;0;2,72;2,93;3,19;0
63;0;2,72;2,93;3,19;0
64;0;2,73;2,94;3,2;0
65;0;2,73;2,94;3,2;0
66;0;2,73;2,94;3,2;3,76
