Feet;Oneputt;Threeputt
1;0,998;0,002
2;0,982;0,002
3;0,921;0,003
4;0,816;0,004
5;0,708;0,005
6;0,61;0,005
7;0,531;0,005
8;0,466;0,006
9;0,412;0,007
10;0,363;0,007
11;0,324;0,009
12;0,293;0,01
13;0,265;0,011
14;0,24;0,012
15;0,215;0,013
16;0,197;0,015
17;0,182;0,017
18;0,166;0,018
19;0,155;0,019
20;0,139;0,022
21;0,131;0,023
22;0,121;0,026
23;0,113;0,028
24;0,104;0,03
25;0,098;0,032
26;0,091;0,036
27;0,081;0,039
28;0,08;0,041
29;0,075;0,047
30;0,072;0,051
31;0,065;0,054
32;0,064;0,058
33;0,058;0,065
34;0,055;0,067
35;0,054;0,074
36;0,05;0,082
37;0,05;0,084
38;0,046;0,089
39;0,045;0,093
40;0,04;0,102
41;0,038;0,108
42;0,037;0,118
43;0,033;0,12
44;0,031;0,126
45;0,034;0,138
46;0,033;0,145
47;0,029;0,146
48;0,029;0,16
49;0,025;0,155
50;0,027;0,167
51;0,0265;0,175
52;0,026;0,183
53;0,0255;0,191
54;0,025;0,199
55;0,0245;0,207
56;0,024;0,215
57;0,0235;0,223
58;0,023;0,231
59;0,0225;0,239
60;0,022;0,247
61;0,0216;0,2515
62;0,0212;0,256
63;0,0208;0,2605
64;0,0204;0,265
65;0,02;0,2695
66;0,0196;0,274
67;0,0192;0,2785
68;0,0188;0,283
69;0,0184;0,2875
70;0,018;0,292
71;0,0176;0,3006
72;0,0172;0,3092
73;0,0168;0,3178
74;0,0164;0,3264
75;0,016;0,335
76;0,0156;0,3436
77;0,0152;0,3522
78;0,0148;0,3608
79;0,0144;0,3694
80;0,014;0,378
81;0,0136;0,3866
82;0,0132;0,3952
83;0,0128;0,4038
84;0,0124;0,4124
85;0,012;0,421
86;0,0116;0,4296
87;0,0112;0,4382
88;0,0108;0,4468
89;0,0104;0,4554
90;0,01;0,464
91;0,0096;0,4726
92;0,0092;0,4812
93;0,0088;0,4898
94;0,0084;0,4984
95;0,008;0,507
96;0,0076;0,5156
97;0,0072;0,5242
98;0,0068;0,5328
99;0,0064;0,5414
100;0,006;0,55
